,image_id,question,answer
68933,150559,What is the color on the bicycle?,yellow
142646,433607,Where are the windows?,right
144093,241407,How many stories does that house have?,3
285923,344632,How many children are sitting at the table?,3
143390,114829,How many arches are visible on the bridge?,5
65584,542881,What is the color of the person's Jersey?,gray
23706,556954,What color are the glasses?,brown
194910,186056,What kind of restaurant is this?,pizza
81478,23000,What sport is the athlete participating in?,tennis
412609,252576,What color pants is she wearing?,gray
265591,405906,What sport are these guys playing?,baseball
280065,473776,What sport is being played?,baseball
317157,517755,Is the man outside?,no
328804,496509,Are the people drinking alcohol?,no
140476,39758,What kind of table is the pizza on?,wood
143427,40606,What are these men playing?,frisbee
100401,135794,Which hand is holding the bat?,left
383276,499309,What kind of flooring does the room have?,wood
391036,508053,Which hand is the woman holding the racket in?,left
32936,271505,How many bicycles are there?,5
239242,68053,How many people are sitting in folding chairs?,2
57422,147290,What is the fan made out of?,wood
333302,359005,What color is the backpack on the ground?,gray
227333,457800,What color is her coat?,pink
142169,302399,What type of kitchen counter are the doughnuts in the bowl on?,wood
22193,268472,What sport is this?,baseball
54124,395761,What is the computer sitting on?,wood
205221,250708,What color is the animal?,brown
91451,156895,What direction is the plane going?,left
147671,434986,What color are her pants?,gray
219407,115829,What is the man carrying?,pizza
370164,239307,What color is the man's hair?,brown
78355,484281,What is she making?,pizza
438854,129568,What sport is this?,tennis
7215,395326,What color is the person's shirt?,pink
385404,113026,What game is this?,baseball
414014,515196,What's the first color we see in the wall?,yellow
304546,88117,What is the floor made of?,wood
274137,78781,What game do the people play?,frisbee
129409,429735,What is the desktop made from?,wood
379178,111010,How many street lights are there?,5
224244,456936,Which person is more determined?,left
47672,24091,How many times has each one of the bikes been rode?,5
19792,529954,Is the surfer standing?,yes
225092,195058,What is the main color in the area rug?,brown
300914,218147,What kind of food is this?,pizza
122946,428019,Which hand does this batter write with?,left
432470,126457,What color is the engine of the train?,yellow
294208,216091,What sort of work environment would you call this?,kitchen
373160,240196,What color is the man's suit?,black
324535,94127,What color is the sofa?,gray
297498,348202,What color is the man's shirt?,gray
217823,192827,Is the landing gear down?,no
951,131366,What are the ladies doing?,tennis
404183,512088,What kind of room is this?,kitchen
